SCHOOL_ID,SCHOOL_NM,SCH_ADDR,GRADE_CAT,GRADES,SCH_TYPE,X,Y,Name2,Status13,W_FROM_C,C_TO_W
"610,031",LAFAYETTE,"2714 W AUGUSTA BLVD, 60622",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.69,41.9,LAFAYETTE,Closed,,CHOPIN
"610,160",SONGHAI,"11725 S PERRY AVE, 60628",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.63,41.68,SONGHAI,Closed,,CURTIS
"610,045",LAWRENCE,"9928 S CRANDON AVE, 60617",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.57,41.71,LAWRENCE,Closed,,BURNHAM
"610,187",STEWART,"4525 N KENMORE AVE, 60640",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.66,41.96,STEWART,Closed,,BRENNEMANN
"610,241",MARCONI,"230 N KOLMAR AVE, 60624",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.74,41.88,MARCONI,Closed,,TILTON
"610,058",MAY,"512 S LAVERGNE AVE, 60644",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.75,41.87,MAY,Closed,,LELAND
"610,061",MAYO,"249 E 37TH ST, 60653",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.62,41.83,MAYO,Closed,,"WELLS, I"
"610,072",MORGAN,"8407 S KERFOOT AVE, 60620",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.64,41.74,MORGAN,Closed,,RYDER
"610,085",NEAR NORTH,"739 N ADA ST, 60642",ES,"2, 3, 4, 5, 6, 7, 8","District, Special Ed.",-87.66,41.9,NEAR NORTH,Closed,,MONTEFIORE
"610,189",STOCKTON,"4420 N BEACON ST, 60640",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.66,41.96,STOCKTON,Closed,,COURTENAY
"610,277",OVERTON,"221 E 49TH ST, 60615",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.62,41.81,OVERTON,Closed,,MOLLISON
"609,932",OWENS,"12450 S STATE ST, 60628",ES,"PK, K, 1, 2, 3, 4","District, non-alternative",-87.62,41.67,OWENS,Closed,,GOMPERS
"610,273",PADEREWSKI,"2221 S LAWNDALE AVE, 60623",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.72,41.85,PADEREWSKI,Closed,,"CARDENAS, CASTELLANOA"
"610,114",PARKMAN,"245 W 51ST ST, 60609",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.63,41.8,PARKMAN,Closed,,SHERWOOD
"610,119",PEABODY,"1444 W AUGUSTA BLVD, 60642",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.66,41.9,PEABODY,Closed,,OTIS
"610,395",PERSHING MIDDLE,"3200 S CALUMET AVE, 60616",MS,"4, 5, 6, 7, 8","District, non-alternative",-87.62,41.84,PERSHING WEST,Closed,,PERSHING EAST
